term_en,description_english,description_arabic,term_arabic
POWER OF ATTORNEY,Formal authorization of a person to act in the interest of another person.,وكالة؛ توكيل رسمي - تفويض رسمي لشخص للتصرف بمصالح شخص آخر.,وكالة؛ توكيل رسمي
PRAYER,"A request of the court to grant the process, aid, or relief which the complainant desires; also, that portion of a document containing such request.",دعاء - طلب من المحكمة بأن تمنح المساعدة أو الراحة والتي يقدمها بينها يطلب الصفحات على حل المشكلة.,الدعاء
PRECEDENT,A court decision in an earlier case that the court uses to decide similar or new cases.,سابقة قضائية - قرار المحكمة السابق يتم الرجوع إليه في القضايا المشابهة أو القضايا الجديدة.,سابقة قضائية
PREINJUNCTION,Court order requiring action or forbidding action until a decision can be made whether to issue a permanent injunction. It differs from a TEMPORARY RESTRAINING ORDER.,أمر تقديم تحفظي - أمر قضائي يتطلب اتخاذ إجراء أو منع العمل إلى أن تصدر قرار بأن يحل مجلس الاحتياطي دائم. يختلف عن أمر تقديم تحفظي مؤقت.,أمر تقديم تحفظي
PREJUDICE,When an act or decision affects a person’s rights in a negative way.,مخاصمة - حين تؤثر فعل أو قرار بالحقوق على حق إنسان.,مخاصمة
PREJUDICIAL ERROR,Synonymous with reversible error; which authorizes the appellate court to reverse the judgment before it.,خطأ ضار؛ قابل للعودة - أخطاء تجيز للمحكمة الاستئنافية أن تنقض الحكم الذي أمامها.,خطأ ضار؛ قابل للعودة
PREJUDICIAL EVIDENCE,Evidence which might unfairly sway the judge or jury to one side or the other.,دليل متحيز - دليل الذي قد يميل القاضي أو هيئة المحلفين بطريقة غير عادلة لأحد الجانبين عن الآخر.,دليل متحيز
PRELIMINARY HEARING,The hearing available to a person charged with a felony to determine if there is enough evidence (probable cause) to hold him for trial.,جلسة استماع أولية - جلسة متوفرة لشخص متهم بجناية، بهدف تحديد إذا كان هناك دليل كافي (سبب محتمل) لمحاكمته.,جلسة استماع أولية
PRELIMINARY INJUNCTION,"In civil cases when it is necessary to preserve the status quo prior to trial, the court may issue this or a temporary restraining order ordering a party to carry out a specified activity.",أمر تقديمي مؤقت - في القضايا المدنية بعد الاقتضاء للحفاظ على الحالة التي الأمر الى المحاكمة. يكون الأمر الصادر يكون أمر تقديمي مؤقت أما أمر تقديم تحفظي يحتم أحد الأطراف شيئا محددا بشأن كفلته مرحليا.,أمر تقديمي مؤقت
ADMONITION TO JURORS,"What the judge says to the jury about what they must do and how they must behave, what evidence they can use to make their decision (called “admissible” evidence), and how they can use that evidence to make a decision.","ما يقوله القاضي للمحلفين عن ما يجب عليهم فعله وكيف يجب عليهم التصرف، وما هي الأدلة التي يمكنهم استخدامها لاتخاذ قرارهم (تسمى الأدلة""المقبولة"")، وكيف يمكنهم استخدام الأدلة لاتخاذ قرار.",توجيهات القاضي للمحلفين
ADOPTION,The way to make the relationship between a parent and child legal when they are not related by blood.,الطريقة القانونية لإقامة علاقة نسب بين الوالدين والطفل حين لا تربط بينهم علاقة دم.,التبني
ADOPTIVE ADMISSION,Action by a party that communicates agreement with the statements of another person.,الفعل الذي يعبر فيه طرف ما عن توافقه على ما يقوله طرف آخر يعتبر نوعاً من الاعتراف يعتبر قانونياً.,إقرار التبني
ADVERSARY SYSTEM,The system of trial practice in the United States and some other countries in which each of the opposing (or “adversary”) parties has the opportunity to present and establish opposition positions before the court.,نظام القضاء - في الولايات المتحدة الأمريكية وبعض دول أخرى، حيث يُمنح كل طرف معارض فرصة لعرض وترسيخ مواقف معارضة أمام المحكمة.,النظام العدائي
ADVERSE WITNESS,A person called to testify for the other side.,شاهد معارض أو مساعد - شخص مستدعى للشهادة ضد الجانب الآخر.,شاهد معاكس
AFFIANT,A person who makes and signs an affidavit.,شخص الإقرار – شخص يقوم بكتابة إفادة والتوقيع عليها.,القائم بالإقرار
AFFIDAVIT,"A written statement that someone swears to under oath in front of someone that is legally authorized, like a judge or notary public.",أفادة كتابية - تصريح كتابي يقسم شخص بصحته أمام شخص مخول قانونياً، كالقاضي أو كاتب العدل.,الإفادة
AFFIRMATION,When an appellate court says that the lower court's decision was right.,توكيد - عندما تقول محكمة استئناف أن حكم محكمة أدنى كان صحيحاً.,تأكيد
AFFIRMATIVE DEFENSE,When a defendant or person responding to a civil case has a reason that would make him or her “not guilty” or not at fault and gives the court new evidence to prove that. The defense has to prove what it says (called BURDEN OF PROOF). The defense has to explain this defense in their ANSWER.,"دفاع إيجابي - عندما يكون للمتهم أو الشخص المدعى عليه في قضية مدنية سبب يجعله ""غير مذنب"" أو غير مسؤول، ويقدم للمحكمة أدلة جديدة لإثبات ذلك. يجب على الدفاع أن يثبت ما يقوله (يسمى ""عبء الإثبات""). يجب على الدفاع شرح هذا الدفاع في ""الرد"" الخاص به.",دفاع إيجابي
AFFIRMED,"In appellate courts, it means that the decision of the trial court is correct.",توكيد - في محاكم الاستئناف، يعني أن قرار محكمة المحاكمة صحيح.,موكد
AFTER ACQUIRED INTENT,When the defendant did not intend to commit a crime until after the crime had been committed.,نية مكتسبة لاحقاً - عندما لا يكون لدى المتهم نية لارتكاب جريمة حتى بعد ارتكاب الجريمة بالفعل.,نية مكتسبة لاحقاً
AGENT,Someone who has authority to act for another.,وكيل – الشخص الذي لديه الحق في التصرف باسم شخص آخر.,وكيل
TRUE FINDING,The juvenile court equivalent of a guilty verdict.,إيجاد حقيقي - أصحاب الخصوم مكلفة بأخذ الإجراء,إيجاد حقيقي
TRUE TEST COPY,"A copy of a court document given under the clerk's seal, but not certified.",نسخة حقيقة - نسخة من سند مكتب معتمدة من قبل كاتب، لكنها غير معتمدة,نسخة حقيقة
TRUST,"A legal device used to manage real or personal property, established by one person (the GRANTOR or SETTLOR) for the benefit of another (the BENEFICIARY).",الثقة - عقد بموجبه يحول الواهب (المانح أو المؤسس) ملكية حقيقية أو شخصية جيك بيعا بشرط، أو بدون أجل أو إلى شخص آخر (المستفيد)، أن يتصرف بها الوكيل لصالح الأمين.,الثقة
TRUST AGREEMENT OR DECLARATION,The legal document that sets up a trust.,اتفاقية الثقة أو إعلان - الوثيقة القانونية التي تقيم الثقة,اتفاقية الثقة أو إعلان
TRUSTEE,The person or institution that manages the property put in trust.,الأمين - الشخص أو المؤسسة التي تدير الملكية الموضوعة في الثقة,الأمين
TURNCOAT WITNESS,"A witness whose testimony was expected to be favorable, but who later becomes an adverse witness.",شاهد عائد - شاهد يتوقع الأن يكون الشهادة في صالحه، ولكن يتحول فيما بعد معادلة,شاهد عائد
UNCONSCIONABILITY,"An absence of meaningful choice on the part of one of the parties to a contract, and contract terms which are unreasonably favorable to the other party.",عيوب صحة التراضي - غياب الاختيار الجدي لطرف واحد في العقد، وأحكام العقد التي تكون بشكل غير معقول في صالح الطرف الآخر.,عيوب صحة التراضي
UNCONSTITUTIONAL,That which is contrary to or in conflict with the federal or state constitutions.,غير دستوري - بأنشطة أو مبادرات تعارض الأدستور الاتحادي، أو دستور الولاية,غير دستوري
UNDERCOVER,A person participating in a secret investigation in order to acquire information about the crime without the other party realizing their identity.,سوَّ - خفي شخص يشترك بالتحقيق السري لجمع معلومات عن جريمة,سوَّ خفي
UNDERTAKING,"A promise given during legal proceedings by a party or his attorney, usually as a condition of getting some concession from the court or third party.",تعهد - اتفاق لامتثال أو اتخاذ أمر ما، يعطى بشكل علني,تعهد
UNDUE INFLUENCE,When someone pressures the person making a will (called testator) to include or leave out people or things from his or her will. This can be a reason to challenge a will.,سوء تأثير - إذا كان شخص على علاقة به إطلاق أحد كبار أو ركون جيد في شؤونه الشخصية، لقوته بعمله، أو بيع بمن. هذا سببا للطعن في الوصية.,سوء تأثير
ATTORNEY-IN-FACT,"A private person (who is not necessarily a lawyer) authorized by someone to act in his or her place, either for some particular purpose, or for the transaction of business in general. This authority is given in writing, called a power of attorney.",وكيل قانوني - شخص خاص (لا يتطلب بالضرورة أن يكون محامياً) مفوض من قِبل شخص آخر لينوب عنه في أمور معينة أو في تعاملات تجارية عامة. تُعطى هذه الصلاحيات كتابياً تحت مسمى وكالة قانونية.,وكيل قانوني
AUDIT,When records or accounts are looked at to check that they are right and complete.,تدقيق - نظر سجلات أو حسابات للبحث عن دقتها واكتمالها.,تدقيق
AUTHENTICATE,"To give authority or legal authenticity to a statute, record, or other written document.",برهان على صحة الوثيقة، النص القانوني الأصيل أو لسجل,تصديق
AUTO TAMPERING,The manipulation of an automobile and its parts for a specific purpose.,التلاعب بمحرك سيارة - التعديل أو تغيير سيارة لغرض معين,التلاعب بمحرك سيارة
AUTOMATED ADMINISTRATIVE ENFORCEMENT OF INTERSTATE CASES (AEI),"Part of the Personal Responsibility and Work Opportunity Reconciliation Act (PRWORA) that lets states find, put a lien on, and take property from people in a different state who owe money.","أذونية الإنفاذ الإداري الآلي للقضايا بين الولايات - جزء من قانون ""المسؤولية الشخصية وفرص العمل"" الذي يمكّن الولايات من تحديد أصول الأشخاص في ولاية أخرى، وضع امتياز عليها، وأخذها في حال كانوا مدينين بأموال.",أذونية الإنفاذ الإداري الآلي للقضايا بين الولايات
AUTOMATED VOICE RESPONSE SYSTEM (AVR),Phone system that gives information to people over the phone.,نظام الرد الآلي بالصوت - نظام هاتف يُعطي معلومات للناس عبر الهاتف.,نظام الرد الآلي بالصوت
AVERAGE ADULT PERSON,"A hypothetical person who is used as an example of the entire community. This hypothetical person represents the interests of all, including persons religious and irreligious; persons of all nationalities, all adult ages and all economic, educational, and social standings; persons with normal health, average condition, appetites, inclinations, and interests concerning sex.",الشخص البالغ الاعتيادي - شخص افتراضي يُستخدم كمثال للمجتمع بأكمله. يُمثل هذا الشخص مصالح الجميع، بما في ذلك الاثنين واللادينين وأشخاص من كافة الجنسيات في جميع الأعمار البالغة، وجميع المستويات الاقتصادية والتعليمية والاجتماعية، والأشخاص بصحة عادية وحالة متوسطة وشهية وميول واهتمامات تتعلق بالجنس.,الشخص البالغ الاعتيادي
BACKLOG,All the cases that haven’t been settled or decided in the time the law says they should be.,مخزون القضايا - جميع القضايا التي لم يُصدر بشأنها حكم أو لم تُحل في الوقت الذي حدده القانون.,مخزون القضايا
BAD FAITH,"Generally implies actual or constructive fraud, or a design to mislead or deceive another.",سوء نية - يشير عموماً إلى حالات الاحتيال الفعلي أو الضمني، أو إلى تصميم على تضليل أو خداع شخص آخر.,سوء نية
BAIL,A security deposit (usually money) given to release a defendant or witness from custody and to make sure that they go to court when they’re supposed to.,كفالة - ضمان نقدي (عادة مال) يُعطى لإطلاق سراح متهم أو شاهد من الحبس لضمان حضورهم إلى المحكمة في الوقت اللحق.,كفالة
BAIL BOND,"A legal paper that you buy from a bondsman and give to the court instead of bail. The court then signs it and lets go. But if they don’t come to defend when they’re supposed to, they must pay the amount of money on the bail bond.",سند كفالة - وثيقة قانونية تشترى من كفيل وتُقدم إلى المحكمة بدلاً من الكفالة. يوقع القاضي عليها فيُطلق سراح الشخص، ولكن إذا لم يحضروا للدفاع عند الحاجة يجب عليهم دفع المبلغ المحدد في سند الكفالة.,سند كفالة
MENTAL INCAPACITY,Where a person is found to be incapable of understanding and acting with discretion in the ordinary affairs of life due to a loss of reasoning faculties.,العاهة العقلية الخطيرة: - عدم قدرة الشخص على فهم كثير من الأمور العادية، والتصرف بتبصًّر، نتيجة فقدان ملكات العقل.,العاهة العقلية الخطيرة
MENTAL STATE,Capacity or condition of one’s mind in terms of ability to do or not to do a certain act.,الحالة العقلية – حالة العقل وقابليته في تمييز ما يجب عمله أو لا يجب عمله.,الحالة العقلية
MERITS,"A decision “on the merits” is one that reaches the right(s) of a party, as distinguished from disposition of a case on a ground not reaching the right(s) raised in an action.","استحقاق – قرار ""على أساس الاستحقاق"" هو الذي يحقق للأطراف الحق المدعى به في الدعوى، ويميز بذلك قرار الفصل القائم على أرضية استهجان الدعوى.",استحقاق
MINOR,A child under the age of 18 years. (See also JUVENILE).,قاصر - من هو دون السن القانونية (انظر أيضا: أحداث).,قاصر
MINUTE ORDER,Document prepared by the clerk recording the orders of the clerk.,تدوين الأوامر - وثيقة تعد على يد كاتب المحكمة تدون الأوامر.,تدوين الأوامر
MIRANDA RIGHTS,"Requirement that police tell a person who is arrested or questioned their constitutional rights before they question him or her: specifically, the right to remain silent; the right to an attorney; and if the person cannot afford an attorney, one will be appointed if he or she desires.",حقوق ميراندا – متطلب قانوني بأن تنبه الشرطة المتهمين أو الجرحى بهذه الحقوق الدستورية قبل استجوابهم: الحق في الصمت، الحق في محام، وفي حال عدم توافر المال لديه، يعين له محام بناءً على رغبته.,حقوق ميراندا
MIRANDA WARNING,See MIRANDA RIGHTS.,تعهد حقوق ميراندا.,تعهد حقوق ميراندا
MISDEMEANOR,A crime that can be punished by up to one year in jail.,جنحة - جريمة يعاقب عليها بالسجن لمدة لا تزيد عن سنة.,جنحة
MISTAKE,"Some unintentional act, omission, or error arising from ignorance, surprise, imposition, or misplaced confidence.",خطأ - عمل غير مقصود، أو إغفال، أو خطأ ينشأ من الجهل، أو المفاجأة، أو الإلزام، أو الثقة غير المستقرة.,خطأ
MISTRIAL,A trial that has been ended and declared void (of no legal effect) due to prejudicial error in the proceedings or other extraordinary circumstances.,محاكمة باطلة - محاكمة قد تم إنهاؤها وإعلان بطلانها (لا أثر قانوني لها) بسبب أخطاء تضر باستمرارها في ظروف غير عادية.,محاكمة باطلة
MITIGATING CIRCUMSTANCES,Facts which do not constitute a justification or excuse for an offense but which may be considered as reasons for reducing the degree of blame.,ظروف مخففة - وقائع لا تعد مبرر أو عذر لجرم، لكن يمكن أن تؤخذ في الاعتبار كأسباب لتخفيف وطأة اللوم.,ظروف مخففة
MITIGATING FACTORS,Facts that do not constitute a justification or excuse for an offense but which may be considered as reasons for reducing the degree of blame.,عوارض مخففة - وقائع لا تعد مبرر أو عذر لجرم، لكن يمكن أن تؤخذ في الاعتبار كأسباب لتخفيف وطأة اللوم.,عوارض مخففة
MITIGATION OF DAMAGES,Imposes on the injured party duty to minimize his damages after injury has been inflicted.,تخفيف تبعات الضرر - يفرض على الطرف المتضرر واجب تقليل الكلفة المترتبة بعد إلحاق الضرر.,تخفيف تبعات الضرر
EX POST FACTO,"Latin meaning, “after the fact.” The Constitution prohibits the enactment of ex post facto laws. These are laws that permit...","بعد الواقعة - بمعنى ""بعد الحقيقة"". تمنع الدستور من سَن القوانين التي تسمح بعقوبة على فعل كان قانونيا عند ارتكابه ولكن...",بعد الواقعة
EXPUNGEMENT,Official and formal erasure of a record or partial contents of a record.,طمس - إزالة رسمية سجل أو جزء من محتويات سِجل رسمي.,طمس
EXTENUATING CIRCUMSTANCES,"Circumstances which render a crime less aggravated, heinous, or reprehensible than it would otherwise be.",ظروف مخففة - ظروف تجعل جريمة أقل خطورة أو فداحة من شأنها أن تكون كذلك.,ظروف مخففة
EXTORTION,"The act of obtaining the property of another through wrongful use of actual or threatened force, violence, or fear.",ابتزاز - اقتناء المال أو الملكية من ملك شخص آخر من خلال استخدام القوة أو العنف أو التهديد بالعنف. أيضًا، انتحال صفة ال...,ابتزاز
EXTRADITION,Bringing a person that is in custody in one state to the authorities of another state where that person has been...,تسليم المجرمين - تسليم شخص لديه إقامة قانونية في دولة إلى سُلطات دولة أخرى حتى إذا كانت هذه الأخيرة قد وجهت إليه تهمة ...,تسليم المجرمين
EXTRAORDINARY WRIT,"A court order, often issued by an appellate court, making available remedies not regularly within the powers of lower courts.",أمر قضائي لاعتيادي - أمر قضائي، يصدر غالبًا عن محكمة استئناف، يقدم حلولا ليست متاحة بشكل منتظم ضمن صلاحيات المحاكم الأدنى....,أمر قضائي لاعتيادي
EYE WITNESS,"One who saw the act, fact, or transaction to which he or she testifies.",شاهد عيان - شخص شاهد الفعل، الواقع، أو العملية التي يشهد عليها.,شاهد عيان
FACTUAL BASIS,The underlying facts supporting a defendant's guilty or NOLO CONTENDERE plea.,"أساس الوقائع مفترض - الحقائق الأساسية التي تدعم إقرار المتهم بالذنب أو الإقرار بـ ""لا أواجه"".",أساس الوقائع مفترض
FACTUALLY INNOCENT,No reasonable cause exists to believe the person arrested committed the offense.,حقيقيًا بريء - عدم وجود سبب معقول يدعو للاعتقاد بأن الشخص المقبوض عليه ارتكب الجريمة.,حقيقيًا بريء
FAILURE TO APPEAR,The act of not appearing in court after being presented with a subpoena or summons.,الامتناع عن الحضور للمحاكمة - عدم الظهور في المحكمة بعد تقديم استدعاء أو أمر قضائي للمثول.,الامتناع عن الحضور للمحاكمة
FAILURE TO COMPLY,The act of not following an order that is directed by the court.,الامتناع عن الالتزام - عدم اتباع أمر صادر عن المحكمة.,الامتناع عن الالتزام
FAIR HEARING,"A hearing in which certain rights are respected such as the right to present evidence, to cross examine and to have findings supported by evidence.",سماعة عادلة - الجلسة التي تحترم فيها حقوق معينة مثل الحقوق لتقديم الأدلة، لاستجواب المتهمين وأن يكون لها نتائج مدعومة بال...,سماعة عادلة
WEIGHT OF THE EVIDENCE,The persuasiveness of certain evidence when compared with other evidence that is presented.,الإقناعية التي يتمتع بها دليل ما عند مقارنته بأدلة أخرى.,وزن الدليل
WHEELER MOTION,"A motion to dismiss a jury panel due to the prosecution's exclusion of a particular class of people (i.e., black jurors, women, etc.).",طلب إبطال هيئة المحلفين بسبب استبعاد الادعاء لفئة معينة من الأشخاص (كالمحلفين السود، النساء، إلخ).,طلب ويلر
WILL,A legal paper that says what a person wants to happen to his or her personal property after the person dies.,وصية - ورقة قانونية تبين ما يُريده شخص ما لممتلكاته الشخصية بعد وفاته. يمكن تغيير الوصية أو إلغاؤها في أي وقت قبل وفاة الشخص.,الوصية
WILLFUL,"A “willful” act is one done intentionally, as distinguished from an act done carelessly or inadvertently.",فعل مقصود - فعل يقوم به شخص بنية واضحة، يتميز عن فعل قد يتم بشكل غير متعمد أو بسهو.,متعمد
WITH PREJUDICE,"Applied to orders of judgment dismissing a case, meaning that the plaintiff is forever barred from bringing a lawsuit on the same claim or cause.",بدون إمكانية التجديد - يطبق على الأحكام التي ترفض القضية بشكل نهائي بحيث يُمنع المدعي من تقديم دعوى قضائية على نفس المطالب أو الأسباب.,بدون إمكانية التجديد
WITHOUT PREJUDICE,When rights or privileges are not waived or lost. If your case is dismissed without prejudice it means that there can be a new case about the same thing.,بدون التنازل عن الحق - عندما لا يتم التنازل عن الحقوق أو الامتيازات. إذا تم رفض قضيتك بدون تحيز فهذا يعني أن بإمكانك فتح قضية جديدة عن نفس الأمر.,بدون تحيز
WITNESS,"1. A person called testify about what he or she saw, heard, or knows. 2. To sign your name to a document for the purpose of authenticity.",1) شاهد - شخص يُطلب منه الإدلاء بشهادته بما رأى أو سمع أو يعلم. (2) كتابة اسمك على وثيقة لضمان صحتها كمستند.,شاهد
WITNESS STAND,The space in the courtroom occupied by a witness while testifying.,منصة الشهود - المكان الذي يقف فيه الشاهد في المحكمة أثناء شهادته.,منصة الشهود
"WITNESS, DEFENSE",A non-hostile witness that is called by the defense counsel to assist in proving the defense’s case.,شاهد دفاع - شاهد غير عدائي يُدعى من جانب محامي الدفاع لتقديم المساعدة في إثبات القضية.,شاهد دفاع
"WITNESS, EXPERT","Qualified by knowledge, skill, experience, training or education to provide a scientific, technical or specialized opinion of the subject about which he or she is to testify. That knowledge must not be generally possessed by the average person.",شاهد خبير - شخص مؤهل بالمعرفة، المهارات، التجربة، أو التعليم لتقديم رأي علمي أو تقني أو متخصص في الموضوع الذي يُطلب منه الشهادة ز التفاصيل لا يجب أن تكون معروفة بشكل عام بين الأشخاص العاديين.,شاهد خبير
"WITNESS, HOSTILE",An uncooperative witness.,شاهد عدائي - شاهد غير متعاون.,شاهد عدائي
"WITNESS, MATERIAL","A witness who can give testimony relating to a particular matter that very few others, if any, can give.",شاهد أساسي - شاهد يمكنه تقديم إفادات بخصوص موضوع معين لا يمكن للعديد من الآخرين، إن وجدوا، تقديمها.,شاهد أساسي
"WITNESS, PROSECUTION",The person whose complaint begins a criminal prosecution and whose testimony is mainly relied on to secure a conviction at the trial.,شاهد الادعاء - الشخص الذي تبدأ شكواه الإجراءات القضائية الجنائية، والذي يُعتمد على شهادته بشكل أساسي لتأمين الإدانة في المحاكمة.,شاهد الادعاء
ENJOINING,An order by the court telling a person to stop something.,أمر صادر عن المحكمة يأمر شخصًا معينًا بأن يتوقف عن شيء معين.,أمر بالكف
ENTER A GUILTY PLEA,The formal statement before the court that the accused admits committing the criminal act.,الأقرار – البيان الرسمي أمام المحكمة أن المتهم يعترف بارتكاب الفعل الجرمي.,دخول الاعتراف
ENTRAPMENT,A defense to criminal charges alleging that agents of the government induced a person to commit a crime he or she otherwise would not have committed.,كمين، فخ – دفاع في قضايا جنائية على أساس أن وكلاء الحكومة قد حرضوا سمكدنا على ارتكاب جريمة لم يكن ليقع فيها إزكان.,الإيقاع في فخ، الكمين
ENTRY OF DEFAULT,"The clerk’s record that the defendant has defaulted by not answering, or not answering on time. The plaintiff must request this record entry.",تسجيل الغياب أو التقصير (تبنه) - سجل يدرجه الكرب على التقصير. يسم به أن المدعى أو المدعى عليه لم يرد في المحاكمة.,تسجيل الغياب أو التقصير
EQUAL PROTECTION,The guarantee in the Fourteenth Amendment to the U.S. Constitution that all persons be treated equally by the law.,مبدأ المساواة - تكفل الدستور الأمريكي من خلال تعديله الرابع عشر المسعاوية التامة بين جميع الافراد أمام الدستور.,مبدأ المساواة
EQUITABLE ACTION,"An action which may be brought for the purpose of restraining the threatened inflict of wrongs or injuries, and the prevention of threatened illegal action.",طلب إنصاف – طلب يرفع من أجل معكية تهافدة تهديد حق. خاصة إذا ما كان الزجر يتعلق بأمار بيل وشيك بإيقاع الضرر.,طلب إنصاف
