FAQ_Question,FAQ_Answer,Most_Similar_MOJ_Description,MOJ_Similarity_Score
كم تبلغ قيمة التكاليف القضائية لطلب الإدخال من الخصوم؟,ألفا ريال.,تُقدّر التكاليف القضائية للطلبات الواردة في المادة (السابعة) من النظام على النحو الآتي:  1- طلب التماس إعادة النظر؛ عشرة آلاف ريال.  2- طلب النقض؛ سبعة آلاف ريال.  3- طلب الاستئناف؛ خمسة آلاف ريال.  4 - طلب الإدخال من الخصوم، وطلب الرد، وطلب تصحيح الحكم أو تفسيره، وطلب وقف تنفيذ الحكم ألفا ريال.  5- الطلب العارض؛ ألف ريال.  6- طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة؛ مائة ريال.,0.657107838
كم تبلغ قيمة التكاليف القضائية لطلب الاستئناف؟,خمسة آلاف ريال.,تُفرض على الطلبات الآتية تكاليف قضائية بمبلغ لا يزيد على عشرة آلاف ريال، وفقاً للمعايير والضوابط وقواعد التقدير التي تحددها اللائحة:  1.طلبات الاستئناف والنقض والتماس إعادة النظر.  2.الطلبات العارضة.  3.طلبات الإدخال من الخصوم.  4.طلبات الرد.  5.طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة.  6.طلب تصحيح الحكم أو تفسيرة.  7.الطلبات الأخرى التي تحددها اللائحة.,0.613157493
كم تبلغ قيمة التكاليف القضائية لطلب التماس إعادة النظر؟,عشرة آلاف ريال.,تُقدّر التكاليف القضائية للطلبات الواردة في المادة (السابعة) من النظام على النحو الآتي:  1- طلب التماس إعادة النظر؛ عشرة آلاف ريال.  2- طلب النقض؛ سبعة آلاف ريال.  3- طلب الاستئناف؛ خمسة آلاف ريال.  4 - طلب الإدخال من الخصوم، وطلب الرد، وطلب تصحيح الحكم أو تفسيره، وطلب وقف تنفيذ الحكم ألفا ريال.  5- الطلب العارض؛ ألف ريال.  6- طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة؛ مائة ريال.,0.627577219
كم تبلغ قيمة التكاليف القضائية لطلب التنفيذ المباشر؟,خمسمائة ريال.,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,0.73933164
كم تبلغ قيمة التكاليف القضائية لطلب الرد؟,ألفا ريال.,تُقدّر التكاليف القضائية للطلبات الواردة في المادة (السابعة) من النظام على النحو الآتي:  1- طلب التماس إعادة النظر؛ عشرة آلاف ريال.  2- طلب النقض؛ سبعة آلاف ريال.  3- طلب الاستئناف؛ خمسة آلاف ريال.  4 - طلب الإدخال من الخصوم، وطلب الرد، وطلب تصحيح الحكم أو تفسيره، وطلب وقف تنفيذ الحكم ألفا ريال.  5- الطلب العارض؛ ألف ريال.  6- طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة؛ مائة ريال.,0.635666035
كم تبلغ قيمة التكاليف القضائية لطلب النقض؟,سبعة آلاف ريال.,تُقدّر التكاليف القضائية للطلبات الواردة في المادة (السابعة) من النظام على النحو الآتي:  1- طلب التماس إعادة النظر؛ عشرة آلاف ريال.  2- طلب النقض؛ سبعة آلاف ريال.  3- طلب الاستئناف؛ خمسة آلاف ريال.  4 - طلب الإدخال من الخصوم، وطلب الرد، وطلب تصحيح الحكم أو تفسيره، وطلب وقف تنفيذ الحكم ألفا ريال.  5- الطلب العارض؛ ألف ريال.  6- طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة؛ مائة ريال.,0.653077861
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها الورقية أو الإلكترونية؟,خمسون ريالًا.,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,0.73863217
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها -الورقية أو الإلكترونية- أو الوثائق أو الأوراق التي تحت يد المحكمة؟,مائة ريال.,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,0.788042053
كم تبلغ قيمة التكاليف القضائية لطلب نسخة بديلة للوثائق القضائية؟,مائة ريال.,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,0.64613258
كم تبلغ قيمة التكاليف القضائية لطلب وقف تنفيذ الحكم؟,ألفا ريال.,تُفرض على الطلبات الآتية تكاليف قضائية بمبلغ لا يزيد على عشرة آلاف ريال، وفقاً للمعايير والضوابط وقواعد التقدير التي تحددها اللائحة:  1.طلبات الاستئناف والنقض والتماس إعادة النظر.  2.الطلبات العارضة.  3.طلبات الإدخال من الخصوم.  4.طلبات الرد.  5.طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة.  6.طلب تصحيح الحكم أو تفسيرة.  7.الطلبات الأخرى التي تحددها اللائحة.,0.620291659
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم العامة؟,ثلاثة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.769896206
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر التجارية؟,خمسة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.825049225
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر العمالية؟,ألفا ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.804542075
كم تبلغ قيمة التكاليف القضائية للدعاوى الجزائية الخاصة؟,عشرة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.787943021
كم تبلغ قيمة التكاليف القضائية للدعاوى المستعجلة؟,تقدر قيمة التكاليف القضائية للدعاوى المستعجلة بثلاثة آلاف ريال، أيًا كانت المحكمة أو الدائرة التي تنظرها.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.742999884
كم تبلغ قيمة التكاليف القضائية للطلب العارض؟,ألف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.672580397
كم تبلغ قيمة التكاليف القضائية لمنازعات التنفيذ؟,ثلاثة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.663859519
كم تبلغ مدة الاعتراض على التكاليف القضائية؟,يمكن الاعتراض على التكاليف القضائية خلال خمسة عشر يومًا من تاريخ تبليغ المستفيد إذا تحققت الشروط الواردة في اللائحة التنفيذية للنظام.,مدة الاعتراض بطلب النقض ثلاثون يوماً، ويستثنى من ذلك الأحكام الصادرة في المسائل المستعجلة فتكون خمسة عشر يوماً. فإذا لم يودع المعترض اعتراضه خلال هاتين المدتين سقط حقه في طلب النقض.,0.671305225
كم تبلغ مدة الإفصاح للجهات المختصة أو المشرفة على تسجيل الأموال؟,على جميع الجهات المختصة أو المشرفة على تسجيل الأموال وعلى مدين المدين ومحاسب المدين وموظفيه الإفصاح عن أصول المدين بناء على أمر قاضي التنفيذ خلال مدة لا تتجاوز عشرة أيام من تاريخ إبلاغ تلك الجهات.,على جميع الجهات المختصة، أو المشرفة على تسجيل الأموال، وعلى مدين المدين، ومحاسب المدين، وموظفيه الإفصاح عن أصول المدين بناء على أمر قاضي التنفيذ خلال مدة لا تتجاوز عشرة أيام من تاريخ إبلاغ تلك الجهات .,0.75766854
كم يبلغ مقدار التكاليف القضائية لطلبات التنفيذ المالية؟,تقدر التكاليف القضائية بنسبة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,0.780811592
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة أقل من مائة ألف ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (5%).,تفرض تكاليف قضائية على الدعوى بمبلغ لا يزيد على ما نسبته (%5) من قيمة المطالبة، وبحد أعلى مبلغ مليون ريال. وتحدد اللائحة معايير تقدير التكاليف القضائية والضوابط والقواعد المنظمة لذلك.,0.75136756
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة مليون ريال فأعلى؟,تقدر التكاليف القضائية للدعوى بنسبة (2%).,تفرض تكاليف قضائية على الدعوى بمبلغ لا يزيد على ما نسبته (%5) من قيمة المطالبة، وبحد أعلى مبلغ مليون ريال. وتحدد اللائحة معايير تقدير التكاليف القضائية والضوابط والقواعد المنظمة لذلك.,0.733156471
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة من خمسمائة ألف ريال إلى أقل من مليون ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (3%).,تفرض تكاليف قضائية على الدعوى بمبلغ لا يزيد على ما نسبته (%5) من قيمة المطالبة، وبحد أعلى مبلغ مليون ريال. وتحدد اللائحة معايير تقدير التكاليف القضائية والضوابط والقواعد المنظمة لذلك.,0.745775297
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة من مائة ألف ريال إلى أقل من خمسمائة ألف ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (4%).,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2-  الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3-  الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,0.742157302
كيف تتم المطالبة بالحق الخاص في دعوى الحق العام؟,يمكن ذلك من خلال تقديم طلب صحيفة دعوى في المحكمة الجزائية واختيار تصنيف الحق الخاص ثم إكمال تعبئة البيانات المطلوبة.,إذا انقضت الدعوى الجزائية العامة قبل رفع دعوى الحق الخاص لأحد الأسباب المذكورة في المادة (الثانية والعشرين) من النظام، فيكون الحق في المطالبة بالحق الخاص أمام المحكمة المختصة.,0.601272805
كيف تنفذ القرارات والأحكام الصادرة في مسائل الأحوال الشخصية بالطرق المقررة في النظام، إذا اقتضى ذلك الحجز على الأموال وبيعها؟,تنفذ الأحكام والقرارات الصادرة في مسائل الأحوال الشخصية بالطرق المقررة في نظام التنفيذ، إذا اقتضى ذلك الحجز على الأموال وبيعها وإذا تضمن التنفيذ دفع أموال بشكل دوري فيجري التنفيذ من خلال ترتيبات تحددها اللائحة.,تنفذ القرارات والأحكام الصادرة في مسائل الأحوال الشخصية بالطرق المقررة في هذا النظام، إذا اقتضى ذلك الحجز على الأموال وبيعها. وإذا تضمن التنفيذ دفع أموال بشكل دوري، فيجري التنفيذ من خلال ترتيبات تحددها اللائحة.,0.89127645
كيف تنقضي الدعوى الجزائية العامة؟,وفقًا للمادة (٢٢) من نظام الإجراءات الجزائية، تنقضي الدعوى الجزائية العامة في إحدى الحالات الآتية: 1. صدور حكم نهائي. 2. عفو ولي الأمر فيما يدخله العفو. 3. ما تكون التوبة فيه بضوابطها الشرعية مسقطة للعقوبة. 4. وفاة المتهم. ولا يمنع ذلك من الاستمرار في دعوى الحق الخاص.,تنقضي الدعوى الجزائية العامة في إحدى الحالات الآتية:  1 - صدور حكم نهائي.  2 - عفو ولي الأمر فيما يدخله العفو.  3 - ما تكون التوبة فيه بضوابطها الشرعية مسقطة للعقوبة.  4 - وفاة المتهم.  ولا يمنع ذلك من الاستمرار في دعوى الحق الخاص.,0.853031646
كيف يتم احتساب التكاليف القضائية إذا انتهت الدعوى بالصلح؟,يتحمل أطراف الدعوى التكاليف القضائية بالتساوي، مالم يتفق على غير ذلك.,1.يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطاً منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.  2.إذا انتهت الدعوى بالصلح فيتحمل أطراف الدعوى التكاليف القضائية بالتساوي، ما لم يتفقوا على غير ذلك.,0.752073492
